"","Gambar produk","Tindakan","Produk","Lokasi Bisnis","Harga Pembelian Satuan","Harga penjualan","Stok saat ini","Jenis Produk","Kategori","Merek","Pajak","SKU"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bordir Wilayah Custom","Kedai HW","Rp 2,500.00","Rp 3,500.00","531.00 Pieces","Tunggal","","","","12312"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Brivet Jaya Matahari","Kedai HW","Rp 34,000.00","Rp 40,000.00","999.00 Pieces","Tunggal","","","","12111"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Brivet Jaya Melati 1","Kedai HW","Rp 30,000.00","Rp 30,000.00","9,963.00 Pieces","Tunggal","","","","0182"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Brivet Jaya Melati 2","Kedai HW","Rp 30,000.00","Rp 30,000.00","95.00 Pieces","Tunggal","","","","0191"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Brivet Tiska Muktamar HW","Kedai HW","Rp 20,000.00","Rp 25,000.00","99.00 Pieces","Tunggal","","","","12322"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Brivet Tiska Silatnas 1 Abad","Kedai HW","Rp 25,000.00","Rp 25,000.00","9,998.00 Pieces","Tunggal","","","","0135"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Buku Agenda","Kedai HW","Rp 8,000.00","Rp 8,000.00","9,387.00 Pieces","Tunggal","","","","0132"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Buku Keterampilan HW","Kedai HW","Rp 30,000.00","Rp 45,000.00","985.00 Pieces","Tunggal","","","","01800"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Buku Outbond","Kedai HW","Rp 18,000.00","Rp 25,000.00","98.00 Pieces","Tunggal","","","","12332"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Buku SKT Athfal","Kedai HW","Rp 3,000.00","Rp 3,500.00","344.00 Pieces","Tunggal","","","","01200"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Buku SKT Pengenal","Kedai HW","Rp 3,000.00","Rp 3,500.00","94,869.00 Pieces","Tunggal","","","","01300"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Buku SKT Penghela","Kedai HW","Rp 3,000.00","Rp 3,500.00","996,013.00 Pieces","Tunggal","","","","01400"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Celana Athfal Seri A","Kedai HW","Rp 90,000.00","Rp 90,000.00","10,000.00 Pieces","Tunggal","","","","0119"
